learning_rate,batch_size,dropout_rate,accuracy
0.001,32,0.2,0.9895
0.001,128,0.2,0.9887
0.01,128,0.2,0.9868
0.01,32,0.2,0.9818
0.001,32,0.2,0.9898
0.001,128,0.2,0.9891
0.01,32,0.5,0.9806
0.001,128,0.5,0.9892
0.01,128,0.5,0.9855
0.001,32,0.5,0.9893
0.01,128,0.5,0.9862
0.001,128,0.5,0.9884
0.01,32,0.5,0.9811
0.01,128,0.2,0.9864
0.001,32,0.5,0.9894 
0.01,32,0.2,0.9829